Fecha,Creado el,Categoría,Importe,Moneda,Tipo de cambio,Nota
2013-07-01,2013-07-01 15:43,Comestibles,18000,COP,,Plaza: Frutas
2013-07-01,2013-07-01 15:43,Bebidas,9700,COP,,Onces
2013-07-01,2013-07-01 15:45,Social,21650,COP,,Negra: Arena y comida
2013-07-01,2013-07-01 15:47,Comestibles,6000,COP,,Plaza: Vegetales
2013-07-02,2013-07-02 12:58,Alojamiento,119900,COP,,Tigo
2013-07-02,2013-07-02 13:47,Comida,26400,COP,,Con Marcela
2013-07-02,2013-07-02 13:48,Bebidas,12200,COP,,Cafe y torta
2013-07-02,2013-07-02 13:49,Alojamiento,14000,COP,,Netflix
2013-07-02,2013-07-02 20:11,Social,15500,COP,,Negra: Comida
2013-07-02,2013-07-02 21:51,Social,51550,COP,,Jerónimo : animal crossing
